Technique,QuestionID,AnswerID,SentenceText
1,49996456,51494250,But if you need to use older versions:
2,49996456,51494250,But if you have an <code>include</code> property in your <code>tsconfig.json</code>:
3,49996456,51494250,Then your <code>typings.d.ts</code> should be in the <code>src</code> directory as described in <code>include</code> property
2,50227069,50227170,"Use <code>.reduce</code> to convert the array into an object, as you're doing, but then you need to <code>.find</code> twice to see if the matching <code>name</code> and then if the matching <code>value</code> object exists."
4,50227069,50227170,"Don't mix <code>var</code> and <code>let</code>/<code>const</code> - if you're using ES6, which you should be, always use <code>const</code>, except when you need to reassign, in which case use <code>let</code>."
1,50522602,50523464,Next we add custom getter and setter for public property which checks each it is invoked if <code>_isPlaying</code> is null.
2,50522602,50523464,And if so it returns your default value.
3,50522602,50523464,Otherwise you should consider using another json library like Jackson which as I know supports Kotlin well.
1,51674222,51674892,"and perhaps a third, but a casual scan of the Construct project pages doesn't tell me if it is available: have Construct output JSON or at least a JSON-compatible dictionary, perhaps by using adapters."
1,51674222,51675877,"<a href=""https://docs.python.org/3/library/json.html#json.dump"" rel=""nofollow noreferrer""><code>skipkeys</code></a> doesn't do what you might think it does - it instructs the <a href=""https://docs.python.org/3/library/json.html#json.JSONEncoder"" rel=""nofollow noreferrer""><code>json.JSONEncoder</code></a> to skip keys that are not of a <em>basic</em> type, not the values of the keys - i.e. if your had a <code>dict</code> <code>{object(): ""foobar""}</code> it would skip the <code>object()</code> key, whereas without <code>skipkeys</code> set to <code>True</code> it would raise a <code>TypeError</code>."
3,51674222,51675877,"In this case skipping just by type should suffice, but in case the <code>_io</code> key holds some other undesirable data this guarantees it won't be in the final result."
2,51674222,51675877,"Of course, if your structure contains some other exotic data or data that is represented in JSON differently based on its type, this approach might mess it up as it turns all mappings into <code>dict</code> and all sequences into <code>list</code>."
1,50221841,50222050,"This will allow you to have a null value which can be injected into JSX if need be (won't produce anything), then check if the prop is there, and then replace the null value with your JSX."
3,50221841,50222188,the logic for whether or not to render should live in <code>render</code>
1,50221841,50222277,"Except that actually here, you don't even to do that, because if you're using map the way that I think you are (you didn't post your data so it's hard to tell), then you can just generate an HTML element for each item in the array."
2,50221841,50222277,"So if it's not in the array, it won't map()."
1,50703187,50703313,"Another thing to notice, is that <code>require</code> is synchronous, so if your JSON is specially large, the first time you instanciate <code>MyClass</code> the event loop will be blocked."
3,50703187,50703313,"So, yes, in my opinion, <code>require</code> calls should be at the top, unless you know what you're doing, or you're loading a dynamic dependency."
2,50703187,50703427,"I'd only put <code>require</code> inside the constructor if it was a dynamic dependency, like <code>const wordlist = require(</code>./config/lang/${lang}.json<code>)</code>."
2,50014635,50014693,"Do add proper error handling like if file does not exists, then send back <code>404</code> using something like below:"
1,50014635,50014701,Please use this method carefully and only if you know what you are doing.
3,50014635,50014701,If you do not wanted to create a designated directory (in this case 'public' folder) and put all your top level folders there in order to access it.
2,50957609,50957707,Loop through the object and check to see if car1 exists on the next level down.
4,50957609,50958104," The good news is this will work if given an Array of objects as well instead of a nested Object, but only because we don't care about the keys that hold the objects and only that an object actually has a 'car1' property"
2,49742914,49742993,"Check the result of <code>localeCompare</code> on the property <code>user</code>, if it is either <code>-1</code> or <code>1</code> then return that result."
1,49742914,49743008,This works because <code>||</code> will only consider the second component if the <code>localeCompare</code> is zero.
3,49742914,49743008,"I also want to point out that <code>||</code> is not only making the checking of the statement concise, it also allows you to chain further checks in your sorting requirement."
1,49742914,49743033,"This alternative compares the usernames first <strong>(faster than a precipitated localeCompare execution)</strong>, if they are equal then a common comparison between integers is executed."
3,50088757,50088868,You should cast your data to the <code>[[String: Any]]</code> type because you have array in response.
1,50088757,50088868,Or if you want to get just only one <code>[String: Any]</code> object from response you can write:
2,50088757,50088868,Or if your object can be an array or not an array (but it sounds a little bit strange) you could try to cast to several possible types.
1,51580523,51580586,"You can use session storage if you want the data to be retrieved once <strong>PER SESSION</strong> or local storage if you want to have better control of the data's ""expiration""."
2,51580523,51580653,"You could put the data in <a href=""https://developer.mozilla.org/en-US/docs/Web/API/Window/localStorage"" rel=""nofollow noreferrer"">localStorage</a> and then always check if there is some data there before doing the request on reload."
1,51580523,51583718,If you're correctly sending change/delete requests - they will be memorized and refresh will read updated data (if not cached).
3,51580523,51583718,If it's a SPA (Single Page App) there is no need for refresh - it shouldn't happen.
1,51682923,51682974,People might be able to give better answers if you include the following:
